2022/08/19 11:45:03 pMyThingName = Thing_cardWriterV2_d18b1901-f34b-42aa-9fb4-57bf072f0b9c
2022/08/19 11:45:33 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:34 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:35 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:37 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:38 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:39 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:40 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:42 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:43 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:44 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:45 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:46 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:48 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:49 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:50 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:51 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:52 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:54 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:55 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:56 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:57 mqttClient.clientStatus.clientState = 3
2022/08/19 11:45:59 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:00 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:01 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:02 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:03 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:05 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:06 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:07 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:08 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:09 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:11 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:12 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:13 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:14 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:16 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:17 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:18 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:19 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:20 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:22 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:23 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:24 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:25 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:26 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:28 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:29 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:30 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:31 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:33 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:34 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:35 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:36 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:37 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:39 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:40 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:41 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:42 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:43 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:45 mqttClient.clientStatus.clientState = 3
2022/08/19 11:46:46 mqttClient.clientStatus.clientState = 3
